time,x,z
0.01,2.6,10670
0.02,5.2,10670
0.03,7.8,10670
0.04,10.4,10670
0.05,13,10670
0.06,15.6,10670
0.07,18.2,10670
0.08,20.8,10670
0.09,23.4,10670
0.1,26,10670
0.11,28.6,10670
0.12,31.2,10670
0.13,33.8,10670
0.14,36.4,10670
0.15,39,10670
0.16,41.6,10670
0.17,44.2,10670
0.18,46.8,10670
0.19,49.4,10670
0.2,52,10670
0.21,54.6,10670
0.22,57.2,10670
0.23,59.8,10670
0.24,62.4,10670
0.25,65,10670
0.26,67.6,10670
0.27,70.2,10670
0.28,72.8,10670
0.29,75.3999,10670
0.3,77.9999,10670
0.31,80.5999,10670
0.32,83.1999,10670
0.33,85.7999,10670
0.34,88.3999,10670
0.35,90.9999,10670
0.36,93.5999,10670
0.37,96.1999,10670
0.38,98.7999,10670
0.39,101.4,10670
0.4,104,10670
0.41,106.6,10670
0.42,109.2,10670
0.43,111.8,10670
0.44,114.4,10670
0.45,117,10670
0.46,119.6,10670
0.47,122.2,10670
0.48,124.8,10670
0.49,127.4,10670
0.5,130,10670
0.51,132.6,10670
0.52,135.2,10670
0.53,137.8,10670
0.54,140.4,10670
0.55,143,10670
0.56,145.6,10670
0.57,148.2,10670
0.58,150.8,10670
0.59,153.4,10670
0.6,156,10670
0.61,158.6,10670
0.62,161.2,10670
0.63,163.8,10670
0.64,166.4,10670
0.65,169,10670
0.66,171.6,10670
0.67,174.2,10670
0.68,176.8,10670
0.69,179.4,10670
0.7,182,10670
0.71,184.6,10670
0.72,187.2,10670
0.73,189.8,10670
0.74,192.4,10670
0.75,195,10670
0.76,197.6,10670
0.77,200.2,10670
0.78,202.8,10670
0.79,205.4,10670
0.8,208,10670
0.81,210.6,10670
0.82,213.2,10670
0.83,215.8,10670
0.84,218.4,10670
0.85,221,10670
0.86,223.599,10670
0.87,226.199,10670
0.88,228.799,10670
0.89,231.399,10670
0.9,233.999,10670
0.91,236.599,10670
0.92,239.199,10670
0.93,241.799,10670
0.94,244.399,10670
0.95,246.999,10670
0.96,249.599,10670
0.97,252.199,10670
0.98,254.799,10670
0.99,257.399,10670
1,259.999,10670
1.01,262.599,10670
1.02,265.199,10670
1.03,267.799,10670
1.04,270.399,10670
1.05,272.999,10670
1.06,275.599,10670
1.07,278.199,10670
1.08,280.799,10670
1.09,283.399,10670
1.1,285.999,10670
1.11,288.599,10670
1.12,291.199,10670
1.13,293.799,10670
1.14,296.399,10670
1.15,298.999,10670
1.16,301.599,10670
1.17,304.199,10670
1.18,306.799,10670
1.19,309.399,10670
1.2,311.999,10670
1.21,314.599,10670
1.22,317.199,10670
1.23,319.799,10670
1.24,322.399,10670
1.25,324.999,10670
1.26,327.599,10670
1.27,330.199,10670
1.28,332.799,10670
