# fitness=158.727
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
5,0,7,1,2,0.563995,0.650121
5,0,7,2,2,0.37467,-0.914242
5,0,7,3,2,0.507066,-0.475533
5,0,7,3,3,0.957843,0.571417
5,0,7,4,3,0.584347,-0.971794
5,1,7,4,3,0.993052,0.531908
5,1,7,3,3,0.211656,-0.361346
5,1,7,2,3,0.228017,-0.13084
4,1,7,2,3,0.752371,0.622276
4,1,7,3,3,0.625362,0.543637
4,1,7,4,3,0.936994,-0.256049
4,1,7,5,3,0.415836,-0.840314
4,2,7,5,3,0.383741,0.836819
4,2,7,6,3,0.881759,-0.289537
4,2,7,6,4,0.398631,0.763499
4,3,7,6,4,0.491518,0.204128
4,3,7,7,4,0.832382,-0.913638
4,4,7,7,4,0.781858,-0.394609
4,5,7,7,4,0.0736382,-0.0785087
4,6,7,7,5,0.0299343,-0.13875
4,7,7,7,5,0.53565,-0.330138
4,8,7,6,5,0.166648,-0.60577
4,8,7,5,5,0.379018,-0.892709
5,0,4,0,0,0.990839,0.388985
4,0,4,0,0,0.979609,0.299976
4,0,5,0,0,0.910983,0.403292
3,0,5,0,0,0.759057,0.0699454
3,0,6,0,0,0.0695005,0.746922
3,0,6,0,1,0.612227,-0.308004
3,0,6,1,1,0.146702,0.383167
3,0,6,2,1,0.0206633,0.8245
3,0,6,2,2,0.813794,0.80915
3,0,6,3,2,0.890728,0.163472
3,0,6,4,2,0.390302,-0.714869
3,0,6,5,2,0.632282,-0.155692
3,1,6,4,3,0.995975,0.293364
3,1,6,5,3,0.987953,-0.961091
3,2,6,5,3,0.931466,0.101151
3,3,6,5,3,0.712252,0.370643
3,3,6,4,3,0.593951,0.130645
3,3,6,4,4,0.424766,0.682381
3,3,6,5,4,0.949098,0.0673832
3,4,6,5,4,0.893836,0.0392787
3,4,6,4,4,0.31653,-0.586083
3,4,6,3,4,0.946747,0.356723
3,3,6,3,4,0.838573,0.0593078
2,3,6,3,4,0.372244,-0.208796
2,3,6,4,4,0.822576,-0.312422
2,3,6,5,4,0.792194,0.0314321
2,3,6,6,4,0.781281,0.812757
2,4,6,6,4,0.297173,-0.256476
2,4,6,7,4,0.936997,0.233833
2,5,6,7,4,0.49038,0.0785897
2,6,6,7,5,0.638951,0.808314
2,7,6,7,5,0.335413,-0.616099
2,8,6,7,5,0.0485215,-0.129174
2,8,6,8,6,0.331096,0.759443
2,9,6,8,6,0.0527838,-0.983341
3,9,6,8,6,0.425507,-0.160793
3,9,6,8,7,0.146139,-0.855741
4,0,6,0,0,0.972091,0.567918
3,0,6,3,3,0.942151,0.577462
3,0,6,2,3,0.734556,-0.71686
3,1,6,2,3,0.677956,0.896926
3,1,6,3,3,0.618184,-0.492459
3,1,6,6,3,0.568077,0.00475226
3,2,6,6,3,0.976946,0.189182
3,3,6,3,3,0.00831424,0.596387
3,2,6,3,3,0.837021,-0.0476417
3,2,6,2,3,0.976817,-0.194212
3,2,6,1,3,0.465843,-0.304911
3,1,6,1,3,0.910934,0.212921
3,3,6,6,4,0.36159,-0.779107
3,4,6,6,4,0.443551,0.732608
3,5,6,6,4,0.830228,-0.0108901
3,6,6,6,5,0.329284,-0.369021
3,7,6,6,5,0.0964778,0.497192
3,8,6,6,5,0.459972,0.847673
3,8,6,7,5,0.935654,-0.871429
3,8,6,7,6,0.0478832,0.922881
3,9,6,7,6,0.3724,-0.726658
3,9,6,6,6,0.233809,0.755771
3,9,6,5,6,0.153739,-0.725154
3,9,6,4,6,0.901458,0.432054
3,8,6,4,6,0.609324,0.732891
3,8,6,4,5,0.992741,-0.0436911
3,0,5,0,1,0.84892,-0.0406793
3,0,5,1,1,0.179454,0.812397
3,1,6,2,2,0.134978,-0.937261
3,1,6,1,2,0.257421,-0.337757
3,0,6,1,2,0.659092,-0.722587
3,2,6,4,3,0.651492,0.475767
3,5,6,5,4,0.988737,-0.278321
3,6,6,5,5,0.0778758,0.39572
3,6,6,4,5,0.169619,0.464598
3,5,6,4,4,0.947852,0.91203
3,5,6,3,4,0.998373,0.505395
3,6,6,7,5,0.173864,0.584143
3,7,6,7,5,0.000756386,0.830482
3,7,6,5,5,0.754533,-0.818933
3,7,6,4,5,0.978059,0.503161
3,6,6,3,5,0.841048,0.71616
3,8,6,8,6,0.792748,0.229188
3,9,6,7,7,0.452258,-0.352071
5,0,5,0,0,0.505607,-0.994213
3,0,7,0,0,0.649319,-0.516404
3,0,6,1,0,0.263651,-0.158571
3,0,7,1,0,0.546198,0.278638
3,0,7,0,1,0.0655824,0.177662
3,0,7,1,1,0.161913,0.93866
