# fitness=158.751
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
5,0,4,0,0,0.813427,0.309775
4,0,4,0,0,0.46569,0.576361
4,0,5,0,0,0.985104,0.429054
3,0,5,0,0,0.261401,-0.148838
3,0,5,0,1,0.573167,0.172293
3,0,5,1,1,0.956819,0.211385
3,0,6,0,1,0.0751852,-0.713347
3,0,6,1,1,0.565228,0.584233
3,0,6,2,1,0.43174,0.753197
3,0,6,2,2,0.976789,0.623523
3,0,6,1,2,0.437031,0.809784
2,0,6,2,2,0.211023,-0.726891
2,0,6,3,2,0.446479,-0.412558
2,0,6,3,3,0.882845,0.452537
2,1,6,3,3,0.436024,-0.189365
2,1,6,4,3,0.355462,-0.453177
2,1,6,2,3,0.349368,0.893181
2,1,7,2,3,0.488429,-0.767956
2,1,7,3,3,0.894754,-0.626094
2,1,7,4,3,0.14476,0.523666
2,1,7,5,3,0.280381,-0.829131
2,2,7,5,3,0.348248,-0.795409
2,2,6,6,3,0.838343,-0.796904
2,3,6,6,4,0.591376,0.914986
2,4,6,6,4,0.872284,-0.669291
2,5,6,6,4,0.00132077,0.123407
2,6,6,6,5,0.172346,0.553515
2,7,6,6,5,0.49754,-0.00252838
2,8,6,6,5,0.389349,0.866911
2,8,6,5,5,0.0123705,0.373643
2,7,6,5,5,0.464572,0.0310678
2,8,6,7,5,0.774659,-0.481254
5,0,7,1,2,0.298397,-0.677402
5,0,7,2,2,0.0518826,0.0563618
4,0,7,1,2,0.135057,-0.68378
4,0,7,2,2,0.553107,-0.189767
3,0,7,2,2,0.610061,0.417605
3,0,7,3,2,0.0272596,0.724346
3,0,7,3,3,0.902636,-0.0899034
3,1,7,3,3,0.938771,-0.463803
3,1,7,4,3,0.139678,0.495935
3,1,7,5,3,0.272678,-0.321239
3,1,7,6,3,0.0349619,-0.952936
3,1,7,7,3,0.484293,-0.891272
3,2,7,7,3,0.494035,0.113546
3,2,7,6,3,0.266948,0.993218
3,2,7,6,4,0.413868,-0.026169
3,3,7,6,4,0.726378,-0.194254
3,3,7,5,4,0.429121,-0.439628
3,3,7,4,4,0.0834722,0.770632
3,3,7,3,4,0.752574,0.743539
3,2,7,4,4,0.567375,0.177972
3,2,7,3,4,0.878178,0.414066
3,2,7,2,4,0.828512,0.259544
3,2,7,2,3,0.437167,0.578889
