# fitness=162.568
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
5,0,4,0,0,0.731059,0.536463
4,0,4,0,0,0.378336,0.211038
4,0,5,0,0,0.705313,0.465484
3,0,5,0,0,0.453238,0.605515
3,0,6,0,0,0.541596,-0.309386
3,0,6,1,0,0.901215,-0.283758
3,0,6,0,1,0.46059,0.144255
3,0,6,1,1,0.0966755,-0.141637
3,0,6,2,1,0.0164907,0.745608
3,0,5,2,1,0.669222,0.330763
3,0,5,1,1,0.128014,-0.868183
3,0,5,0,1,0.466327,0.108877
3,0,6,3,1,0.666359,0.115059
3,0,5,3,1,0.799534,-0.279961
3,0,5,2,2,0.122603,0.479853
3,0,6,2,2,0.523775,-0.500505
3,0,6,3,2,0.974868,0.951293
3,1,6,3,2,0.925389,0.307677
3,1,6,4,2,0.474653,-0.0532859
3,1,6,4,3,0.859829,-0.070446
3,1,6,5,3,0.192734,0.2182
3,1,6,6,3,0.641672,0.761149
3,2,6,6,3,0.516683,-0.806033
3,2,5,6,3,0.867442,-0.218143
3,3,5,6,3,0.775403,0.664702
3,3,5,6,4,0.698121,-0.977065
3,3,5,5,4,0.17032,-0.377849
3,4,5,5,4,0.172075,-0.234278
3,4,5,4,4,0.917561,0.6465
3,3,5,4,4,0.340986,0.366253
3,4,6,5,4,0.180438,0.305964
3,5,6,5,4,0.732319,-0.868665
3,5,5,5,4,0.511276,-0.51178
3,6,5,5,5,0.0196202,0.696927
3,6,5,6,5,0.0919023,-0.158756
3,7,5,6,5,0.916825,0.975932
3,7,5,7,5,0.566624,0.310104
3,8,5,7,5,0.477506,-0.100273
3,8,5,7,6,0.430502,0.0547615
3,9,5,7,6,0.876575,0.523316
3,9,5,8,6,0.74185,-0.449225
3,9,5,8,7,0.463999,0.336456
5,0,7,0,0,0.418001,-0.0310035
4,0,7,0,0,0.627371,0.861513
3,0,7,0,0,0.627864,0.777494
3,0,6,4,2,0.629519,0.257618
3,0,6,4,3,0.642,0.28027
3,2,6,4,3,0.110514,0.374952
3,2,6,5,3,0.0756246,0.591249
3,3,6,5,3,0.282156,-0.567207
