# fitness=129.517
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
5,0,4,0,0,0.133427,0.149815
4,0,4,0,0,0.639119,-0.290445
4,0,5,0,0,0.86053,0.44084
4,0,5,0,1,0.131291,0.122105
3,0,5,0,1,0.979644,0.0744957
3,0,5,0,0,0.149144,-0.996643
3,0,6,0,1,0.251961,0.919797
3,0,6,1,1,0.312784,0.530076
3,0,6,2,1,0.552721,-0.551073
3,0,6,1,2,0.199957,0.0314035
3,0,6,2,2,0.698904,0.374676
3,0,6,3,2,0.820429,-0.0226142
3,1,6,2,2,0.692862,0.437117
3,1,6,3,2,0.43144,-0.381695
3,1,6,3,3,0.968322,0.179907
3,1,6,4,3,0.406446,0.57506
3,2,6,4,3,0.794061,0.77636
3,2,6,5,3,0.0851466,-0.771538
3,3,6,4,3,0.492416,-0.0309763
3,3,6,4,4,0.0595721,-0.226417
3,3,6,3,4,0.628376,0.185644
3,3,6,3,3,0.0551775,0.661733
2,3,6,3,4,0.825587,0.892392
2,3,6,4,4,0.560656,-0.166784
2,3,6,4,3,0.36552,0.248695
2,3,7,4,4,0.680136,0.00930815
2,3,6,5,4,0.226356,0.124973
2,3,6,6,4,0.650319,-0.702689
2,4,6,6,4,0.717246,-0.453719
2,4,6,5,4,0.962554,0.793939
2,5,6,5,4,0.364666,0.624195
2,5,6,6,4,0.427442,0.361248
2,6,6,6,5,0.207007,0.0394604
2,7,6,6,5,0.157262,-0.473922
2,8,6,6,5,0.153569,0.137852
2,8,6,5,5,0.430647,0.83282
2,8,6,7,5,0.564379,0.702139
2,8,6,7,6,0.159886,0.288369
2,9,6,7,6,0.706595,-0.538194
2,9,6,6,6,0.251259,0.452742
5,0,7,0,0,0.979308,-0.215796
4,0,7,0,0,0.315958,-0.143529
3,0,7,0,0,0.828181,0.507065
3,0,7,0,1,0.0955535,0.468429
3,0,7,1,1,0.266854,-0.0112003
3,0,7,1,2,0.321146,0.710746
3,0,7,2,2,0.0820338,0.592639
3,0,7,3,2,0.323557,0.345195
3,0,7,4,2,0.510269,0.62273
3,0,7,5,2,0.56093,0.136143
3,0,7,5,3,0.636036,-0.813715
3,0,7,4,3,0.451094,0.104404
3,0,7,3,3,0.135624,0.980651
3,1,7,3,3,0.315836,-0.886471
3,1,7,2,3,0.0227668,-0.93115
3,1,7,1,3,0.342235,0.350627
3,0,7,1,3,0.552629,0.706229
3,0,7,2,3,0.968139,0.26371
3,1,7,5,3,0.940123,0.280007
3,2,7,5,3,0.597522,-0.480453
3,2,7,5,4,0.0489517,0.424787
3,3,7,5,4,0.0524308,-0.457442
3,3,7,4,4,0.707968,-0.623646
3,3,7,3,4,0.667226,-0.801325
3,3,7,2,4,0.809931,-0.373821
3,2,7,2,4,0.431745,-0.813471
3,2,7,2,3,0.850612,-0.0608234
3,1,7,4,3,0.0896329,0.697439
3,1,7,6,3,0.0628986,-0.202551
3,2,7,6,3,0.934599,0.426984
3,2,7,6,4,0.803491,0.332133
2,1,7,1,3,0.854366,0.867183
2,1,7,2,3,0.400525,-0.300577
2,1,7,3,3,0.0979339,0.340251
2,1,7,4,3,0.745384,0.70922
2,1,7,5,3,0.89053,-0.827876
2,2,7,5,3,0.907407,0.531724
2,2,7,5,4,0.0839564,-0.266762
2,3,7,5,4,0.555376,-0.72747
2,3,7,3,4,0.215033,-0.249123
2,2,7,3,4,0.989807,-0.101352
2,2,7,3,3,0.894864,-0.219886
2,2,7,4,3,0.996399,0.278848
2,2,7,6,4,0.611103,0.267861
2,3,7,6,4,0.331339,0.405194
2,4,7,6,4,0.414686,0.303751
2,4,7,7,4,0.766839,0.204321
2,5,7,7,4,0.0765099,0.298563
2,6,7,7,5,0.632405,-0.976012
2,7,7,7,5,0.0870388,-0.763482
2,7,7,6,5,0.0616779,-0.596789
2,8,7,6,5,0.902982,-0.17478
2,8,7,5,5,0.475509,-0.576159
2,8,7,4,5,0.662618,0.551195
2,7,7,4,5,0.207282,0.207129
2,7,7,5,5,0.830317,0.868465
2,6,7,5,5,0.677725,0.116733
3,0,5,1,1,0.820582,0.0959197
3,0,6,3,3,0.95114,0.579577
3,1,6,5,3,0.216773,-0.311014
3,3,6,5,3,0.521775,-0.102329
3,3,6,5,4,0.370617,0.515488
3,3,6,6,4,0.855403,-0.726981
3,4,6,6,4,0.0175787,-0.278542
3,5,6,6,4,0.3932,0.0939665
3,5,6,5,4,0.520951,-0.547288
3,5,6,4,4,0.928922,0.525376
3,4,5,9,4,0.743339,0.874264
3,4,5,8,4,0.703879,0.186377
3,4,5,7,4,0.15482,0.771966
3,5,5,7,4,0.629414,0.0669881
3,6,5,7,5,0.0835902,-0.700797
3,6,5,6,5,0.792383,0.744804
3,7,5,6,5,0.515152,0.430219
3,7,5,7,5,0.900021,0.965514
3,8,5,7,5,0.347148,-0.317301
3,8,5,7,6,0.820673,-0.351054
3,9,5,7,6,0.504959,0.673086
